munci_comm,non_org,is_org,pct_is_org,total_parcels,year,class_category,place
AVONDALE,1117.0,562.0,0.334723049434187,1679.0,2011,condo,Chicago
BELMONT CRAGIN,484.0,131.0,0.21300813008130082,615.0,2011,condo,Chicago
BEVERLY,203.0,27.0,0.11739130434782609,230.0,2011,condo,Chicago
BRIDGEPORT,638.0,298.0,0.31837606837606836,936.0,2011,condo,Chicago
BRIGHTON PARK,16.0,29.0,0.6444444444444445,45.0,2011,condo,Chicago
CALUMET HEIGHTS,10.0,2.0,0.16666666666666666,12.0,2011,condo,Chicago
CHATHAM,331.0,110.0,0.2494331065759637,441.0,2011,condo,Chicago
CHICAGO LAWN,68.0,32.0,0.32,100.0,2011,condo,Chicago
CITY OF BERWYN,645.0,136.0,0.17413572343149808,781.0,2011,condo,Suburban Cook
CITY OF BLUE ISLAND,315.0,61.0,0.1622340425531915,376.0,2011,condo,Suburban Cook
CITY OF BURBANK,368.0,20.0,0.05154639175257732,388.0,2011,condo,Suburban Cook
CITY OF CALUMET CITY,846.0,95.0,0.10095642933049948,941.0,2011,condo,Suburban Cook
CITY OF CHICAGO HEIGHTS,15.0,0.0,0.0,15.0,2011,condo,Suburban Cook
CITY OF CICERO,235.0,27.0,0.10305343511450382,262.0,2011,condo,Suburban Cook
CITY OF COUNTRY CLUB HILLS,759.0,27.0,0.03435114503816794,786.0,2011,condo,Suburban Cook
CITY OF COUNTRYSIDE,659.0,71.0,0.09726027397260274,730.0,2011,condo,Suburban Cook
CITY OF DES PLAINES,4815.0,640.0,0.11732355637030248,5455.0,2011,condo,Suburban Cook
CITY OF ELGIN,1327.0,51.0,0.03701015965166909,1378.0,2011,condo,Suburban Cook
CITY OF EVANSTON,8380.0,908.0,0.09776055124892334,9288.0,2011,condo,Suburban Cook
CITY OF HICKORY HILLS,927.0,87.0,0.08579881656804733,1014.0,2011,condo,Suburban Cook
CITY OF NORTH LAKE,530.0,52.0,0.08934707903780069,582.0,2011,condo,Suburban Cook
CITY OF OAK FOREST,1709.0,177.0,0.09384941675503712,1886.0,2011,condo,Suburban Cook
CITY OF PALOS HEIGHTS,1392.0,85.0,0.05754908598510494,1477.0,2011,condo,Suburban Cook
CITY OF PALOS HILLS,2828.0,420.0,0.12931034482758622,3248.0,2011,condo,Suburban Cook
CITY OF PARK RIDGE,2514.0,246.0,0.0891304347826087,2760.0,2011,condo,Suburban Cook
CITY OF PROSPECT HEIGHTS,2753.0,321.0,0.1044242029928432,3074.0,2011,condo,Suburban Cook
CITY OF ROLLING MEADOWS,2558.0,433.0,0.14476763624205952,2991.0,2011,condo,Suburban Cook
CLEARING,870.0,67.0,0.07150480256136606,937.0,2011,condo,Chicago
DOUGLAS,1582.0,632.0,0.28545618789521227,2214.0,2011,condo,Chicago
DUNNING,1592.0,331.0,0.17212688507540302,1923.0,2011,condo,Chicago
EAST GARFIELD PARK,447.0,276.0,0.3817427385892116,723.0,2011,condo,Chicago
EDGEWATER,11046.0,1651.0,0.1300307159171458,12697.0,2011,condo,Chicago
EDISON PARK,673.0,153.0,0.18523002421307505,826.0,2011,condo,Chicago
ENGLEWOOD,42.0,12.0,0.2222222222222222,54.0,2011,condo,Chicago
FOREST GLEN,148.0,44.0,0.22916666666666666,192.0,2011,condo,Chicago
FULLER PARK,7.0,2.0,0.2222222222222222,9.0,2011,condo,Chicago
GAGE PARK,15.0,7.0,0.3181818181818182,22.0,2011,condo,Chicago
GARFIELD RIDGE,273.0,15.0,0.052083333333333336,288.0,2011,condo,Chicago
GRAND BOULEVARD,1807.0,923.0,0.3380952380952381,2730.0,2011,condo,Chicago
GREATER GRAND CROSSING,68.0,86.0,0.5584415584415584,154.0,2011,condo,Chicago
HEGEWISCH,17.0,1.0,0.05555555555555555,18.0,2011,condo,Chicago
