,year,ami,ami_pct,ami_pct_value,ami_pct_monthly,ami_pct_aff_threshold,aff_units,pct_aff_units
0,1980,66262,0.1,6626.200000000001,552.1833333333334,165.655,3100.0,0.004884966908288686
1,1980,66262,0.2,13252.400000000001,1104.3666666666668,331.31,29000.0,0.04569807752915222
2,1980,66262,0.3,19878.6,1656.55,496.965,50500.0,0.07957768673179956
3,1980,66262,0.4,26504.800000000003,2208.7333333333336,662.62,92300.0,0.14544595020485346
4,1980,66262,0.5,33131.0,2760.9166666666665,828.275,186900.0,0.29451623069650174
5,1980,66262,0.6,39757.2,3313.1,993.93,321500.0,0.5066183422628427
6,1980,66262,0.7,46383.399999999994,3865.283333333333,1159.5849999999998,438100.0,0.690356129845572
7,1980,66262,0.8,53009.600000000006,4417.466666666667,1325.24,513600.0,0.8093287109990546
8,1980,66262,0.9,59635.8,4969.650000000001,1490.8950000000002,559200.0,0.8811849984242042
9,1980,66262,1.0,66262.0,5521.833333333333,1656.55,584100.0,0.9204223132682005
10,1980,66262,1.1,72888.20000000001,6074.016666666667,1822.2050000000002,602100.0,0.9487866372518121
11,1980,66262,1.2,79514.4,6626.2,1987.86,609900.0,0.9610778443113772
12,1980,66262,1.3,86140.6,7178.383333333334,2153.5150000000003,622700.0,0.981248030255279
13,1980,66262,1.4,92766.79999999999,7730.566666666666,2319.1699999999996,625000.0,0.9848723605420737
14,1980,66262,1.5,99393.0,8282.75,2484.825,629200.0,0.9914907028049165
15,1980,66262,1.6,106019.20000000001,8834.933333333334,2650.48,633100.0,0.997636306334699
16,1980,66262,1.7,112645.4,9387.116666666667,2816.1349999999998,634200.0,0.9993696816892531
17,1980,66262,1.8,119271.6,9939.300000000001,2981.7900000000004,634200.0,0.9993696816892531
18,1980,66262,1.9,125897.79999999999,10491.483333333332,3147.4449999999993,634300.0,0.9995272612669398
19,1980,66262,2.0,132524.0,11043.666666666666,3313.1,634400.0,0.9996848408446265
20,1990,66686,0.1,6668.6,555.7166666666667,166.715,6420.0,0.01107287920730603
21,1990,66686,0.2,13337.2,1111.4333333333334,333.43,30510.0,0.052622047447804826
22,1990,66686,0.3,20005.8,1667.1499999999999,500.1449999999999,54930.0,0.09474038237652964
23,1990,66686,0.4,26674.4,2222.866666666667,666.86,80130.0,0.1382040203865159
24,1990,66686,0.5,33343.0,2778.5833333333335,833.575,133935.0,0.23100406178045688
25,1990,66686,0.6,40011.6,3334.2999999999997,1000.2899999999998,216885.0,0.3740718702299951
26,1990,66686,0.7,46680.2,3890.0166666666664,1167.0049999999999,314820.0,0.5429850205676144
27,1990,66686,0.8,53348.8,4445.733333333334,1333.72,395910.0,0.682844798592606
28,1990,66686,0.9,60017.4,5001.45,1500.435,453555.0,0.7822678705404497
29,1990,66686,1.0,66686.0,5557.166666666667,1667.15,492705.0,0.8497917367345355
30,1990,66686,1.1,73354.6,6112.883333333334,1833.8650000000002,521205.0,0.8989470416267819
31,1990,66686,1.2,80023.2,6668.599999999999,2000.5799999999997,534900.0,0.9225674591881613
32,1990,66686,1.3,86691.8,7224.316666666667,2167.295,540555.0,0.932320906527307
33,1990,66686,1.4,93360.4,7780.033333333333,2334.0099999999998,554565.0,0.9564846195638114
34,1990,66686,1.5,100029.0,8335.75,2500.725,562485.0,0.9701446200812356
35,1990,66686,1.6,106697.6,8891.466666666667,2667.44,565905.0,0.9760432566683052
